ID,Product,Category,Subcategory,Image_URL,Price
122,Listerine Mouthwash 500Ml(Cool Mint),Personal Care,Mouthwashes,https://i.postimg.cc/sD7bXwsv/LISTERINT-COOL-MINT-500-ML-Photo-Room-png-Photo-Room.png,"#7,700.00"
123,Listerine Mouthwash 500Ml(Freshburst),Personal Care,Mouthwashes,https://i.postimg.cc/3Rh9QCRH/listerine-fresh-burst-500ml-Photo-Room-png-Photo-Room.png,"#7,700.00"
124,Listerine Mouthwash (Teeth & Gum) 500Ml,Personal Care,Mouthwashes,https://images.deliveryhero.io/image/menus-glovo/products/82cde04d2a6a0f909c82b5d6f87ad2e8925c6a8fae7501b1e4123cb5efca962a?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#7,700.00"
125,Colgate Advanced White T/P 100Ml,Personal Care,Mouthwashes,https://images.deliveryhero.io/image/menus-glovo/products/c71d88603c7cddeeafffa1da542e6efb822a61c893b73c0aaa0a0e13f58617a1?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#2,750.00"
126,Colgate Max White Crystals T/Paste 100Ml,Personal Care,Mouthwashes,https://www.gomarket.com.ng/wp-content/uploads/2021/02/download.png,"#2,750.00"
127,Euthymol Toothpaste 75Ml,Personal Care,Toothpastes,https://i.postimg.cc/8PmJN5Df/Euthymol-75ml-Original-toothpaste.jpg,"#5,100.00"
128,Hk Floss Dental Floss * 50 Picks,Personal Care,Toothpastes,https://i.postimg.cc/3Jc5C0SR/hk-floss-50-picks-Photo-Room-png-Photo-Room.png,#900.00
129,Longrich White Tea Toothpaste* 200G,Personal Care,Toothpastes,https://images.deliveryhero.io/image/menus-glovo/products/3483d0a13ed2e77507dd0404d0d3164405f2b145511702e89b087c65379590b2?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#6,750.00"
130,Pepsodent T/Protection 123 130G(Complete,Personal Care,Toothpastes,https://images.deliveryhero.io/image/menus-glovo/products/2d0ac7baf65eaaa5e01fa1d88ce75ef8c8f2ebcd4a17bd3029d8d832dc802316?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#1,200.00"
131,Sensodyne T/Paste 75Ml (Extra Whitening),Personal Care,Toothpastes,https://images.deliveryhero.io/image/menus-glovo/products/a81511f7f72f1850dfc4ef4ba7f59b7ce7a3f33890b56f22c5e703924da5fb1b?t=W3siYXV0byI6eyJxIjoibG93In19XQ==,"#1,500.00"
132,Beauty Land Exfoliating Bath Gloves,Personal Care,Bath sponges,https://i.postimg.cc/qM36C7Py/image-removebg-preview-25.jpg,"#2,450.00"
133,Advil 200Mg * 24 Tabs,Pain Killers,Tablets & Capsules,https://i.postimg.cc/s1dRMb3p/ADVIL-200-MG-24-TABS.jpg,"#15,600.00"
